STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
13743/2021,M357361,M,357.361,13.743,2.021,VOLKSWAGEN,2.021,N4PUP MOVE 1.0,2.016,AUTO,GRIS,"RETROVISOR DERECHO, AMBAS PUERTAS DERECHAS ZOCALO DERECHO GUARDABARRO TRASERO IZQUIERDO  PARAGOLPE TRASERO A CORROBORAR OTROS DA?OS",CARS
13260/2021,M356339,M,356.339,13.260,2.021,SUZUKI,2.021,NDZIRE 1.2 GL F,2.018,AUTO,GRIS,*PARAGOLPE DELANTERO CARETA CAPOT GUARDABARRO DELANTERO DERECHO DEMAS A CORROBORAR,CARS
13759/2021,M356771,M,356.771,13.759,2.021,CHEVROLET,2.021,N2PSONIC LT 1.6,2.014,AUTO,,"PARAGOLPE TRASERO,GUARD.TRASERO DERECHO,PUERTA TRASERA DERECHA, PUERTA DELANTERA DERECHA, DEMAS DA?OS A CORROBORRAR",CARS
12935/2021,M357126,M,357.126,12.935,2.021,RENAULT,2.021,N4PCAPTUR 0.9T,2.016,AUTO,NEGRO,"GUARDABARRO DELANTERO IZQUIERDO Y PLASTICO CUBERTOR.PUERTA DELANTERA IZQUIERDA, ESPEJO IZQUIERDO,LUNETA IZQUIERDA.",CARS
13775/2021,M356849,M,356.849,13.775,2.021,VOLKSWAGEN,2.021,NUP NUEVO MOVE,2.019,AUTO,ROJO,GUARDABARRO DELANTERO DERECHO PARAGOLPE DELANTERO PUERTA DELANTERA DERECHA PUERTA TRASERA DERECHA,CARS
12914/2021,M356761,M,356.761,12.914,2.021,HAIMA,2.021,N1 1.0 CONFORT,2.012,AUTO,CELESTE,PARAGOLPE TRASERO PORT?N TRASERO,CARS
12626/2021,M356517,M,356.517,12.626,2.021,SUZUKI,2.021,NCELERIO 1.0 GA,2.016,AUTO,ROJO,PARAGOLPE TRASERO,CARS
12850/2021,M356310,M,356.310,12.850,2.021,VOLKSWAGEN,2.021,N4PUP NUEVO MOV,2.018,AUTO,GRIS,AMBOS GUARDABARROS DERECHOS AMBAS PUERTAS DERECHAS ZOCALO DERECHO AMBOS PARAGOLPES SEMIOPTICA DERECHA MOLDURA DE PARAGOLPE DELANTERO CAMINERO DERECHO  BUCHE DELANTERO DERECHO TASA LLANTA Y CUBIERTA DELANTERA DERECHA  TASA TRASERA DERECHA A CORROBORAR TREN DELANTERO,CARS
14037/2021,M356804,M,356.804,14.037,2.021,CHEVROLET,2.021,NONIX 1.0 JOY A,2.017,AUTO,GRIS,"PARAGOLPE TRASERO, FAROLTRASERO DERECHO, PORTON TRASERO GUARDABARRO TRASERO DERECHO PUERTA TRASERA DERECHA A CONFIRMAR CIERRE DE BAUL",CARS
12924/2021,M355295,M,355.295,12.924,2.021,NISSAN,2.021,N4PVERSA 1.6 AD,2.013,AUTO,GRIS,"PARAGOLPE DELANTERO,GUARD DELANTERO IZQ, CO F DEMAS",CARS
