STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
22775/2021,M360918,M,360.918,22.775,2.021,VOLKSWAGEN,2.021,N4PGOL VI 1.6 G,2.015,AUTO,BLANCO,"PARAGOLPE DELANTERO , ALMA DE PARAGOLPE DELANTERO,  CARETA, FRENTE , RADIADORES, CAPOT, GUARDABARROS DELANTEROS,  OPTICOS,  MECANICA Y DEM?S A CORROBORAR",CARS
20031/2021,M362288,M,362.288,20.031,2.021,VOLKSWAGEN,2.021,N4PUP HIGH 1.0,2.016,AUTO,BCO,PUERTA TRASERA DERECHA  ZOCALO INFERIOR TRASERO DERECHO  GUARDABARRO TRASERO DERECHO DEMAS A CORROBORAR,CARS
20702/2021,M363267,M,363.267,20.702,2.021,VOLKSWAGEN,2.021,N4PGOL VII 1.6,2.018,AUTO,GRIS,"PUERTA TRASERA DERECHA,  GUARDABARRO TRASERO DERECHO, PARAGOLPE TRASERO Y DEMAS A CORROBORAR",CARS
20399/2021,M362592,M,362.592,20.399,2.021,PEUGEOT,2.021,N208 NEW 1.2 AL,2.020,AUTO,BLANCO,"GUARDABARRO TRASERO Y LANTA TRASERA DERECHA, PARAGOLPE TRASERO",CARS
20405/2021,M363622,M,363.622,20.405,2.021,VOLKSWAGEN,2.021,NUP MOVE /ESPEC,2.017,AUTO,GRIS,GUARDABARRO TRASERO IZQUIERDO  PUERTA TRASERA  IZQUIERDA PARAGOLPE TRASERO,CARS
20489/2021,M362982,M,362.982,20.489,2.021,VOLKSWAGEN,2.021,N4PGOL VI 1.6 G,2.015,AUTO,NEGRO,PARAGOLPE DELANTERO CARETA CAPOT OPTICA IZQUIERDA GUARDABARRO DELANTERO IZQUIERDO DEMAS A CORROBORAR,CARS
19358/2021,M362511,M,362.511,19.358,2.021,CHEVROLET,2.021,N4PCORSA 1.4 LS,2.011,AUTO,GRIS,"PARAGOLPE TRASERO, TAPA BAUL.PORTON TRASERO.DEMAS INTERNO A CORROBORAR.",CARS
19700/2021,M362767,M,362.767,19.700,2.021,VOLKSWAGEN,2.021,N4PUP MOVE /ESP,2.017,AUTO,BCO,"ENVOLVENTE DELANTERO.,CAPOT,GUARD.DEL. DERECHO DEMAS DA?OS A CORROBORRAR",CARS
19832/2021,M363347,M,363.347,19.832,2.021,CHEVROLET,2.021,N4PSPARK 1.0 LS,2.013,AUTO,GRIS,"PARAGOLPE DELANTERO, ESPOLON",CARS
20409/2021,M359985,M,359.985,20.409,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.015,AUTO,GRIS,PUERTA TRASERA IZQUIERDA,CARS
19176/2021,M363036,M,363.036,19.176,2.021,CHEVROLET,2.021,N4PPRISMA NUEVO,2.018,AUTO,GRIS,"PARAGOLPE DELANTERO, CAPOT,DA?OS A CORROBORRAR EN FRENTE E INTERIORES.",CARS
18641/2021,M361810,M,361.810,18.641,2.021,VOLKSWAGEN,2.021,NUP NUEVO TAKE,2.021,AUTO,GRIS,PARAGOLPE TRASERO GUARDABARRO TRASERO IZQUIERDO  DEMAS A CORROBORAR,CARS
18102/2021,M365156,M,365.156,18.102,2.021,GEELY,2.021,N4PCK,2.012,AUTO,GRIS,"PARAGOLPE TRASERO, GUARDBARRO TRASERO IZQ, PUERTA TRASERA IZQ",CARS
18522/2021,M362604,M,362.604,18.522,2.021,RENAULT,2.021,NKWID 1.0 ZEN F,2.020,AUTO,MARFIL,PORTON TRASERO CIERRE DE BA?L PARAGOLPE TRASERO GUARDABARROS TRASEROS A CONFIRMAR INTERIOR,CARS
19772/2021,M361469,M,361.469,19.772,2.021,HYUNDAI,2.021,N4PHB20,2.021,AUTO,AZUL,"AMBOS PARAGOLPES, GUARDABARRO DELANTERO DERECHO",CARS
18632/2021,M361153,M,361.153,18.632,2.021,FORD,2.021,N4PFIESTA 1.6 1,2.017,AUTO,GRIS,PARAGOLPE TRASERO GUARDABARRO TRASERO DERECHO CAMINERO TRASERO DERECHO,CARS
19267/2021,M361876,M,361.876,19.267,2.021,VOLKSWAGEN,2.021,NUP MOVE /ESPEC,2.017,AUTO,GRIS,PARAGOLPE TRASER,CARS
17859/2021,M349828,M,349.828,17.859,2.021,CHEVROLET,2.021,NONIX 1.0 JOY F,2.019,AUTO,BORDO,"PARAGOLPE DELANTERO, CAPOT,GUARDA BARRO DELANTERO IZQUIERDO, OPTICA DELANTERA IZQUIERDA, DEMAS DA?OS A CORROBORAR POR MECANICO.",CARS
17308/2021,M361011,M,361.011,17.308,2.021,CHEVROLET,2.021,NONIX 1.0 LS A/,2.016,AUTO,GRIS,"OPTICO DEL DERE, GUARDA  BUCHE DEL DERECHO, PARAGOLPE DEL, A CORROBORAR INT Y MEC",CARS
17792/2021,M361036,M,361.036,17.792,2.021,CHEVROLET,2.021,N4PCORSA 1.4 WA,2.012,AUTO,GRIS,PARAGOLPE TRASERO TAPA DE BAUL FAROL DERECHO,CARS
17331/2021,M360195,M,360.195,17.331,2.021,BYD,2.021,N4PF3 NEW 1.5 G,2.014,AUTO,BLANCO,PARAGOLPE DELANTERO CAPO CARETA OPT DEL IZQ GUARD DEL IZQ,CARS
18511/2021,M359297,M,359.297,18.511,2.021,SUZUKI,2.021,N4PCELERIO 1.0,2.014,AUTO,GRIS,"PARAGOLPE TRASERO, TAPA BAUL.CERRADURA BAUL.",CARS
17904/2021,M353269,M,353.269,17.904,2.021,VOLKSWAGEN,2.021,N4PGOL VII 1.6,2.018,AUTO,GRIS,PARAGOLPE DELANTERO.GUARDABARRO DELANTERO DERECHO CAPOT OPTICO DELANTERO DERECHO,CARS
17158/2021,M359137,M,359.137,17.158,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.017,AUTO,BLANCO,AMBOS AIRBAG TABLERO TAPA DE VOLANTE PARABRISA CAPOT GUARDABARRO DELANTERO IZQUIERDO PUERTA DELANTERA IZQUIERDA CARETA PARAGOLPE DELANTERO BUCHE DELANTERO IZQUIERDO Z?CALO DELANTERO IZQUIERDO LLANTA Y CUBIERTA DELANTERA IZQUIERDA PORT?N TRASERO PARAGOLPE TRASERO FAROL IZQUIERDO,CARS
17782/2021,M360620,M,360.620,17.782,2.021,VOLKSWAGEN,2.021,NUP NUEVO MOVE,2.019,AUTO,GRIS,"PARAGOLPE DELANTERO, DEMAS DA?OS A CORROBORAR",CARS
17586/2021,M360314,M,360.314,17.586,2.021,VOLKSWAGEN,2.021,NGOL V 1.6 CONF,2.012,AUTO,GRIS,PARAGOLPE TRASERO  TAPA BAUL FAROLES TRASEROS  DEMAS A CORROBORAR,CARS
17482/2021,M359641,M,359.641,17.482,2.021,BYD,2.021,N4PF0 NEW 1.0 F,2.017,AUTO,NEGRO,"PARAGOLPE DELANTERO, ESPEJO DERECHO, FARO DELANTERO DERECHO, AMBOS GUARDABARROS DERECHOS,AMBAS PUERTAS DERECHAS, DA?OS A CORROBORAR EN MEC?NICA E INTERIORES, PERDIDA DE FLUIDOS.",CARS
16464/2021,M360057,M,360.057,16.464,2.021,VW,2.021,N4PPOLO,2.021,AUTO,GRIS,"TAZA DELANTERA DERECHA, ESPEJO DERECHO,  GUARDABARRO DELANTERO DERECHO,  PUERTA DELANTERA DERECHA,  ZOCALO DERECHO.",CARS
16651/2021,M365238,M,365.238,16.651,2.021,LIFAN,2.021,"NX50 1.5 FULL,",2.017,AUTO,GRIS,"PUERTA DELANTERA  Y TRASERA IZQUIERDA, LLANTA Y CUBIERTA TRASERA DERECHA,  A CORROBORAR TRENES, INT",CARS
16671/2021,M365296,M,365.296,16.671,2.021,CHERY,2.021,N4PQQ 1.1 311 S,2.011,AUTO,GRIS,PARAGOLPE DELANTERO CARETA CAPOT AMBAS OPTICAS AMBOS GUARDABARROS DELANTEROS PERDIDA DE L?QUIDOS DEMAS A CORROBORAR,CARS
16242/2021,M357895,M,357.895,16.242,2.021,HYUNDAI,2.021,"NI10 1.1 FULL,",2.015,AUTO,NARANJA,"PUERTA DELANTERA DERECHA,GUARD. DEL. DERECHO,PARAGOLPE DELANTERO,CAPOT OPTICO DELANTERO DERECHO, CAMINEROS DELANTEROS, DA?OS ME ANICOS, DEMAS DA?OS A CORROBORRAR",CARS
16547/2021,M358761,M,358.761,16.547,2.021,SUZUKI,2.021,NALTO MARUTI 80,2.019,AUTO,ROJO,PARAGOLPE TRASERO GUARDABARRO TRASERO IZQUIERDO,CARS
16504/2021,M360201,M,360.201,16.504,2.021,RENAULT,2.021,NKWID 1.0 LIFE,2.019,AUTO,NARANJA,FENDER TRASERO IZQUIERDO GUARDABARRO TRASERO IZQUIERDO  FAROL TRASERO IZQUIERDO  PARAGOLPE TRASERO  DEMAS A CORROBORAR,CARS
17909/2021,M360422,M,360.422,17.909,2.021,NISSAN,2.021,NMARCH 1.6 ADVA,2.018,AUTO,GRIS,"GUARDABARRO DELANTERO DERECHO, PARAGOLPE DELANTERO LLANTA DELANTERA DERECHA A CONFIRMAR ?PTICO DERECHO CAPOT",CARS
16717/2021,M360219,M,360.219,16.717,2.021,CHEVROLET,2.021,N4PCORSA 1.4 LS,2.011,AUTO,GRIS,GUARD DELANTERO DERECHO PARAGOLPE DELANTERO DEMAS DA?OS A CONF...,CARS
17575/2021,M358768,M,358.768,17.575,2.021,GEELY,2.021,N4PLC 1.0 (GC2),2.016,AUTO,BCO,GUARDABARRO DELANTERO. DERECHO,CARS
15927/2021,M360002,M,360.002,15.927,2.021,CHEVROLET,2.021,N4PONIX NUEVO 1,2.018,AUTO,BLANCO,"GUARDABARRO DELANTERO IZQUIERDO,  PARAGOLPE DELANTERO Y DEMAS A CORROBORAR",CARS
16201/2021,M358698,M,358.698,16.201,2.021,FORD,2.021,"N4PKA 1.0 DIR,",2.013,AUTO,GRIS,PARAGOLPE DELANTERO GUARDABARRO DELANTERO IZQUIERDO,CARS
15585/2021,M359215,M,359.215,15.585,2.021,FIAT,2.021,N4PMOBI EASY 1.,2.017,AUTO,PLATA,"PARAGOLPE DELANTERO.AMBOS AIRBAGS.PARABRISAS., A CORROBORAR  TREN DELANTERO. INTERNO MECANICO.",CARS
16698/2021,M359738,M,359.738,16.698,2.021,CITROEN,2.021,N4PC3 1.5 TENDA,2.017,AUTO,GRIS,"PUERTA TRASERA IZQUIERDA,  GUARDABARRO TRASERO IZQUIERDO.",CARS
16208/2021,M359100,M,359.100,16.208,2.021,CHEVROLET,2.021,N4PSAIL LTZ 1.4,2.015,AUTO,ROJO,PUERTA DELANTERA DERECHA,CARS
16674/2021,M359094,M,359.094,16.674,2.021,JAC,2.021,N4PJ2 1.0 LUXUR,2.013,AUTO,NEGRO,"PARAGOLPE TRASERO, GUARDABARRO DELANTERO IZQUIERDO,  PARAGOLPE DELANTERO.",CARS
16345/2021,M359236,M,359.236,16.345,2.021,RENAULT,2.021,N4PKWID 1.0 ICO,2.020,AUTO,BORDO,"PARAGOLPE TRASERO, FAROL TRASERO IZQUIERDO, BOMB? TRASERO IZQUIERDO, DEMAS A CORROBORAR",CARS
16194/2021,M359421,M,359.421,16.194,2.021,RENAULT,2.021,N4PKWID 1.0 LIF,2.018,AUTO,BEIGE,CARETA CAPOT PARAGOLPE DELANTERO AMBAS OPTICAS DELANTERAS RADIADOR MECANICA Y DEMAS A CORROBORAR,CARS
15624/2021,M355874,M,355.874,15.624,2.021,FAW,2.021,N4PN5 1.0 FULL,2.014,AUTO,BLANCO,PARAGOLPE DELANTERO CARETA CAPOT PARABRISAS DELANTERO RADIADOR MECANICA Y DEMAS A CORROBORAR,CARS
15523/2021,M355872,M,355.872,15.523,2.021,CHEVROLET,2.021,N4PPRISMA NUEVO,2.018,AUTO,GRIS,AMBAS PURTAS DERECHAS GUARDABARRO DELANTERO DERECHO DEMAS A CORROBORAR,CARS
15260/2021,M349754,M,349.754,15.260,2.021,CHEVEROLET,2.021,N4PJOY,2.021,AUTO,BLANCO,"LATERAL TRASERO IZQUIERDO, PUERTA TRASERA IZQUIERDA, ZOCALO IZQUIERDO, RUEDA TRASERA IZQUIERDA, DEMAS DA?OS A CORROBORAR",CARS
16395/2021,M357783,M,357.783,16.395,2.021,BYD,2.021,NF0 NEW 1.0 FUL,2.017,AUTO,GRIS,PARAGOLPE TRASERO GUARDABARRO TRASERO IZQUIERDO PUERTA TRASERA IZQUIERDA,CARS
15856/2021,M358299,M,358.299,15.856,2.021,FIAT,2.021,N4PUNO EVO WAY,2.016,AUTO,PLATEADO,PUERTA DELANTERA IZQUIERDA  GUARDABARRO DELANTERO IZQUIERDO CAPOT PARAGOLPE DELANTERO ?PTICO DELANTERO IZQUIERDO  DEMAS A CORROBORAR,CARS
15861/2021,M358286,M,358.286,15.861,2.021,VOLKSWAGEN,2.021,NGOL VII 1.6 GP,2.017,AUTO,,PARAGOLPE TRASERO DEMAS A CORROBORAR,CARS
15255/2021,M357085,M,357.085,15.255,2.021,KIA,2.021,N4PPICANTO NEW,2.016,AUTO,AMARILLO,"PARAGOLPE DELANTERO,  ALMA DE PARAGOLPE DELANTERO,  GUARDABARROS DELANTEROS,  ?PTICOS  , CARETA ,FRENTE , CAPOT , A CORROBORAR ELECTRICIDAD,  MEC?NICA Y DEM?S",CARS
14996/2021,M355847,M,355.847,14.996,2.021,FIAT,2.021,N4PUNO EVO ATTR,2.018,AUTO,BCO,AMBOS AIRBAG DELANTEROS PARABRISA DELANTERO CARETA CAPOT OPTICA DELANTERA DERECHA GUARDABARRO DELANTERO DERECHO PUERTA TRASERA DERECHA PARAGOLPE TRASERO GUARDABARRO TRASERO DERECHO MECANICA Y DEMAS A CORROBORAR,CARS
15983/2021,M357264,M,357.264,15.983,2.021,CHERY,2.021,N4PQQ 3 800 BAS,2.011,AUTO,GRIS,PUERTA TRASERA IZQUIERDA.GUARDABARRO TRASERO IZQUIERDO,CARS
15893/2021,M357278,M,357.278,15.893,2.021,PEUGEOT,2.021,N2PPARTNER 1.6,2.016,AUTO,GRIS,"AMBAS PUERTAS DE FURGON,DEFENSA TRASERA, PARAGOLPE TRASERO.",CARS
15448/2021,M358109,M,358.109,15.448,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.013,AUTO,ROJO,GUARDABARRO DELANTERO DERECHO  PARAGOLPE DELANTERO CARETA CAPOT OPTICOS DELANTEROS DEMAS  A CORROBORAR,CARS
15087/2021,M357077,M,357.077,15.087,2.021,CHERY,2.021,N4PQQ 800 (308),2.014,AUTO,ROJO,"RETROVISOR IZQUIERDO,  GUARDABARRO DELANTERO IZQUIERDO,  PUERTAS IZQUIERDAS,  DEM?S A CORROBORAR .",CARS
14900/2021,M355838,M,355.838,14.900,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.016,AUTO,GRIS,PARAGOLPE TRASERO TAPA DE BAUL A CORROBORAR AMBOS FAROLES,CARS
15746/2021,M355857,M,355.857,15.746,2.021,CHEVROLET,2.021,N4PAVEO 1.6 LT,2.013,AUTO,BLANCO,"AMBAS PUERTAS DERECHAS, ESPEJO RETROVISOR DERECHO,BAMBOS  GUARDABARROS DERECHOS DEMAS A CORROBORAR",CARS
14885/2021,M357980,M,357.980,14.885,2.021,PEUGEOT,2.021,N2P207 COMPACT,2.012,AUTO,GRIS,"PUERTA IZQUIERDA, CRISTAL Y BAGUETA DE PUERTA IZQUIERDA, DA?OS A CORROBORRAR EN MONTANTES IZQUIERDOS E INTERIORES.",CARS
14800/2021,M357685,M,357.685,14.800,2.021,CHERY,2.021,N4PQQ3 COMFORT,2.014,AUTO,GRIS,PARABRISAS TREN DELANTERO P.GOLPE DELANTERO FRENTE CAMINERO IZQUIERDO RADIADORES,CARS
14757/2021,M359114,M,359.114,14.757,2.021,CHEVROLET,2.021,NONIX NUEVO 1.0,2.018,AUTO,GRIS,"PARAGOLPE DELANTERO, GUARDABARRO DELANTERO DERECHO, PUERTA DERECHA BUCHE DELANTERO DERECHO ?PTICO DERECHO CAPOT Z?CALO DELANTERO DERECHO",CARS
14478/2021,M358001,M,358.001,14.478,2.021,CHEVROLET,2.021,N4PAGILE 1.4 LT,2.011,AUTO,NEGRO,ENVOLVENTE DELANTERO. GUARDABARRO DELANTERO IZQUIERDO.  PUERTA DELANTERA IZQUIERDA. ZOCALO IZQUIERDO.,CARS
15002/2021,M355820,M,355.820,15.002,2.021,CHEVROLET,2.021,N4PJOY PLUS 1.0,2.020,AUTO,BCO,GUARDABARRO TRASERO IZQUIERDO PARAGOLPE TRASERO SE?ALERO TRASERO IZQUIERDO DEMAS A CORROBORAR,CARS
14846/2021,M357669,M,357.669,14.846,2.021,CHEVROLET,2.021,N4PSAIL LTZ 1.4,2.014,AUTO,ROJO,"PARABRISAS,AIRBAGS,PARAGOLPE DELANTERO,RUEDAS DELANTERAS,TREN DELANTERO.AMBOS GUARDABARROS DELANTEROS, CONF MECANICA Y DEMAS",CARS
15055/2021,M358237,M,358.237,15.055,2.021,HYUNDAI,2.021,N4PEON 800 GLS,2.014,AUTO,CELESTE,PARAGOLPE DELANTERO CARETA CAPOT GUARDABARRO DELANTERO IZQUIERDO  RADIADOR OPTICOS DELANTEROS  PARABRISAS DEMAS A CORROBORAR,CARS
14706/2021,M358350,M,358.350,14.706,2.021,SUZUKI,2.021,NCELERIO,2.013,AUTO,BCO,PARAGOLPE TRASERO,CARS
13908/2021,M357469,M,357.469,13.908,2.021,HYUNDAI,2.021,N4PACCENT NEW I,2.014,AUTO,NEGRO,"PARAGOLPE TRASERO, TAPA DE BAUL, SE?ALEROS TRASEROS, ESPOLON, GUARDABARROS TRASEROS, PUERTA DELANTERA DERECHA, PANEL TRASERO Y DEMAS A CORROBORAR",CARS
15333/2021,M357448,M,357.448,15.333,2.021,CHEVROLET,2.021,N4PPRISMA 1.4 L,2.014,AUTO,GRIS,ENVOLVENTE TRASERO Z?CALO TRASERO TAPA BAUL OPTICA TRASERA DERECHA OTROS A CORROBORAR,CARS
14256/2021,M356138,M,356.138,14.256,2.021,FORD,2.021,NRANGER NEW XLT,2.017,AUTO,,PARAGOLPE TRASERO SENSORES DE REBERSA,CARS
13985/2021,M357468,M,357.468,13.985,2.021,HYUNDAI,2.021,N4PACCENT NEW I,2.014,AUTO,NEGRO,"PARAGOLPE DELANTERO,  ESPOLON, AMBAS OPTICAS DELANTERAS, GUARDABARROS DELANTEROS Y DEMAS A CORROBORAR.",CARS
14640/2021,M357440,M,357.440,14.640,2.021,CHEVROLET,2.021,N4PVECTRA ELITE,2.010,AUTO,GRIS,PARAGOLPE TRASERO ZOCALO CUBIERTA TRASERA DERECHA,CARS
15157/2021,M352365,M,352.365,15.157,2.021,VW,2.021,NUP MOVE,2.020,AUTO,GRIS,RETROVISOR DERECHO (COMPLETO) PUERTA TRASERA DERECHA MANIJA DE PUERTA DELANTERA DERECHA,CARS
16566/2021,M349726,M,349.726,16.566,2.021,NISSAN,2.021,N4PSENTRA B17 A,2.019,AUTO,GRIS,CAPOT.,CARS
14098/2021,M357427,M,357.427,14.098,2.021,FIAT,2.021,N4PMOBI EASY 1.,2.019,AUTO,BCO,"ESPEJO DERECHO, PUERTA DELANTERA DERECHA Y TRASERA DER. GUARD.DEL.DER.Y DEM?S A CORROBORAR",CARS
14090/2021,M357009,M,357.009,14.090,2.021,MERCEDES BENZ,2.021,N4P180 A CGI BL,2.015,AUTO,GRIS,PARAGOLPE TRASERO.,CARS
14383/2021,M355766,M,355.766,14.383,2.021,BMW,2.021,N4P120I 2.0T EX,2.017,AUTO,NEGRO,PARAGOLPE TRASERO GUARDABARRO TRASERO DERECHO DEMAS A CORROBORAR,CARS
14799/2021,M357180,M,357.180,14.799,2.021,NISSAN,2.021,N4PKICKS SENSE,2.019,AUTO,ROJO,"GUARDABARRO DELANTERO IZQUIERDO, CUBIERTA DELANTERA IZQUIERDA Y LLANTA, GUARDABARRO TRASERO DERECHO.PARAGOLPE TRASERO,TAPA BAUL.RUEDA TRASERA IZQUIERDA.DEMAS A CORROBORAR.",CARS
15633/2021,M352372,M,352.372,15.633,2.021,GWM    GREAT WA,2.021,NVOLEEX C30 1.5,2.015,AUTO,,"PARAGOLPE TRASERO, PUERTA DE BAUL GUARDABARRO TRASERO DERECHO, FAROL  TRASERO DERECHO",CARS
14103/2021,M357708,M,357.708,14.103,2.021,RENAULT,2.021,NCLIO MIO / LAC,2.014,AUTO,GRIS,FAROL TRAS IZQ. PGOLPE TRAS. PORT?N GUARDABARRO TRASERO IZQUIERDO,CARS
13428/2021,M357424,M,357.424,13.428,2.021,GWM    GREAT WA,2.021,N4PVOLEEX C30 1,2.019,AUTO,BCO,"ESPEJO IZQUIERDO, AMBAS PUERTAS IZQUIERDAS .",CARS
18425/2021,M349731,M,349.731,18.425,2.021,CHEVROLET,2.021,N4PSAIL LT 1.4,2.016,AUTO,REGLAMENT,GUARDABARRO DELANTERO DERECHO.,CARS
13691/2021,M356975,M,356.975,13.691,2.021,TOYOTA,2.021,N4PPRIUS NUEVO,2.018,AUTO,GRIS,"RETROVISOR IZQUIERDO,  GUARDABARRO DELANTERO IZQUIERDO,PUERTA DELANTERA IZQUIERDA , BURLETE DE LUNETA FIJA DELANTERA IZQUIERDA,  DEM?S A CORROBORAR.",CARS
13635/2021,M356273,M,356.273,13.635,2.021,CHEVROLET,2.021,NPRISMA NUEVO 1,2.018,AUTO,BLANCO,PARAGOLPE TRASERO TAPA BAUL,CARS
14876/2021,M357157,M,357.157,14.876,2.021,SUZUKI,2.021,N4PDZIRE 1.2 GO,2.019,AUTO,BLANCO,"PARAGOLPE TRASERO, DEMAS A CORROBORAR",CARS
13724/2021,M356220,M,356.220,13.724,2.021,CHEVROLET,2.021,NSPARK 1.0 LT F,2.016,AUTO,GRIS,GUARDABARROS TRASERO IZQUIERDO PARAGOLPE TRASERO,CARS
14139/2021,M356431,M,356.431,14.139,2.021,CHEVROLET,2.021,NCORSA 1.4 LS C,2.011,AUTO,GRIS,PARAGOLPE TRASERO A CORROBORAR ALMA Y PANEL TRASERO A CORROBORAR SENSORES,CARS
13356/2021,M357371,M,357.371,13.356,2.021,NISSAN,2.021,N4PVERSA 1.6 SE,2.012,AUTO,GRIS,PARAGOLPE DELANTERO,CARS
13327/2021,M356884,M,356.884,13.327,2.021,CHEVROLET,2.021,NPRISMA 1.4 LTZ,2.017,AUTO,BORDEAU,FTE CAPOT CARETA PARAGOLPE DELANTERO,CARS
13425/2021,M356044,M,356.044,13.425,2.021,BYD,2.021,N4PF3 NEW 1.5 G,2.015,AUTO,ROJO,PARANTE IZQUIERDO.  PUERTA DELANTERA IZQUIERDA. CRISTAL DELANTERO IZQUIERDO. LATERAL TRASERO IZQUIERDO. PUERTAS IZQUIERDAS. PUERTA DE BAUL.,CARS
13201/2021,M356396,M,356.396,13.201,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.015,AUTO,GRIS,GUARDABARRO TRASERO DERECHO  FAROL TRASERO DERECHO PARAGOLPE TRASERO  DEMAS A CORROBORAR,CARS
13772/2021,M356811,M,356.811,13.772,2.021,CHEVROLET,2.021,N4PMERIVA 1.8 I,2.011,AUTO,GRIS,"PUERTA BAUL TRASERA,PARAGOLPE TRASERO, DEMAS DA?OS A CORROBORAR",CARS
12592/2021,M356795,M,356.795,12.592,2.021,CHEVROLET,2.021,N4PONIX 1.4 LTZ,2.017,AUTO,GRIS,"ABOLLADO: AMBAS PUERTAS DERECHAS,MONTANTE PUERTAS DERECHAS...MONTANTE CENTRAL Z?CALOS DERECHOS",CARS
12582/2021,M356542,M,356.542,12.582,2.021,RENAULT,2.021,NKWID 1.0 OUTSI,2.020,AUTO,BLANCO,"OPTICA FENDER CAMINERO PUERTA GUARD DEL IZQ. CAPOT, PARAGOLPE DELANTERO,  A CORROBORAR INT Y MEC",CARS
12465/2021,M356934,M,356.934,12.465,2.021,CHERY,2.021,N4PFULWIN II 1.,2.013,AUTO,,"PARAGOLPES , PUERTA DE BA?L,  CARETA , CAPOT, DEM?S A CORROBORAR.",CARS
13663/2021,M357141,M,357.141,13.663,2.021,SUZUKI,2.021,N4PCELERIO 1.0,2.015,AUTO,GRIS,PARAGOLPE TRASERO.TAPA BAUL.ESCAPE.DEMAS INTERNO A CORROBORAR,CARS
12648/2021,M356330,M,356.330,12.648,2.021,HYUNDAI,2.021,N4PGRAND I10 1.,2.016,AUTO,ROJO,PARAGOLPE TRASERO FAROL TRASERO DERECHO  DEMAS A CONFIRMAR,CARS
12897/2021,M357118,M,357.118,12.897,2.021,VOLKSWAGEN,2.021,N2PUP MOVE,2.019,AUTO,GRIS,CARETA PARAGOLPE DELANTERO CAPOT GUARDABARRO DELANTERO DERECHO PARABRISAS .DEMAS A CORROBORAR,CARS
12829/2021,M357324,M,357.324,12.829,2.021,CHEVROLET,2.021,N4PAGILE,2.012,AUTO,BLANCO,"ENVOLVENTE DELANTERO DERECHO GUARDABARRO DELANTERO DERECHO CAPOT, CARETA, RUEDA DELANTERA DERECHA OPTICA DELANTERA DERECHA CHASIS MECANICA EL?CTRICOS Y OTROS A CORROBORAR",CARS
13468/2021,M354776,M,354.776,13.468,2.021,VOLKSWAGEN,2.021,N4PGOL V 1.6 TR,2.012,AUTO,NEGRO,PARAGOLPE TRASERO,CARS
11990/2021,M355910,M,355.910,11.990,2.021,CHEVROLET,2.021,N4PCORSA 1.4  L,2.013,AUTO,GRIS,PARAGOLPE TRASERO,CARS
13316/2021,M356512,M,356.512,13.316,2.021,LIFAN,2.021,N4P320 1.3 LF71,2.011,AUTO,GRIS,"PARAGOLPE DELANTERO, CARETA",CARS
13287/2021,M349693,M,349.693,13.287,2.021,MITSUBISHI,2.021,N4PMIRAGE 1.2 E,2.015,AUTO,BLANCO,"PARAGOLPE TRASERO, DEMAS DA?OS A CORROBORAR",CARS
12276/2021,M355239,M,355.239,12.276,2.021,CHEVROLET,2.021,N4PONIX 1.4 LT,2.019,AUTO,BLANCO,"PARAGOLPE DELANTERO, GUARD DELANTERO IZQ, CONF DEMAS",CARS
12661/2021,M355187,M,355.187,12.661,2.021,HYUNDAI,2.021,N4PEON 800 GL,2.014,AUTO,BCO,"TAPA DE BAUL, PARAGOLPE TRASERO,  PANEL TRASERO, OPTICA TRASERA DERECHA Y DEMAS A CORROBORAR",CARS
11779/2021,M354540,M,354.540,11.779,2.021,CHEVROLET,2.021,N4PSPARK 1.0 LS,2.014,AUTO,CELESTE,PUERTAS DERECHAS.  LATERAL TRASERO DERECHO.  ENVOLVENTE TRASERO.,CARS
11680/2021,M353793,M,353.793,11.680,2.021,FIAT,2.021,N4PUNO EVO WAY,2.016,AUTO,GRIS,OPTICA ADELANTERA IZQUIERDO CAPOT PARAGOLPE DELANTERO CARETA MECANICA Y DEMAS A CORROBORAR,CARS
11372/2021,M353791,M,353.791,11.372,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.017,AUTO,ROJO,OPTICA DELANTERA IZQUIERDA PARAGOLPE DELANTERO GUARDABARRO DELANTERO IZQUIERDO DEMAS A CORROBORAR,CARS
12096/2021,M353790,M,353.790,12.096,2.021,CHEVROLET,2.021,N4PCORSA LT   C,2.010,AUTO,,PARAGOLPE DELANTERO DEMAS A CORROBORAR,CARS
11661/2021,M355079,M,355.079,11.661,2.021,CHEVROLET,2.021,NCELTA 1.4 ADVA,2.014,AUTO,GRIS,PARAGOLPE DELANTERO,CARS
11500/2021,M349675,M,349.675,11.500,2.021,BYD,2.021,N4PF0 1.0 GLX I,2.015,AUTO,GRIS,"AMBAS PUERTAS  DERECHAS,  SOCALO DERECHO",CARS
11531/2021,M355433,M,355.433,11.531,2.021,CHEVROLET,2.021,N4PONIX 1.0 JOY,2.019,AUTO,BCO,PARAGOLPE TRASERO,CARS
