Siniestro,DENUNCIA,Pieza,Tarea,Horas
577/2020,M245982,TAPA BAUL HATCH                     ,Sustituir,2.50
577/2020,M245982,LUNETA TRAS.                     ,SYC,1.00
577/2020,M245982,KIT PEGADO                     ,Sustituir,0.00
577/2020,M245982,PARAGOLPE TRASERO                     ,Sustituir,1.00
577/2020,M245982,FAROL TRASERO IZQ                 ,Sustituir,0.25
577/2020,M245982,PANEL TRASERO cola                ,Sustituir,6.00
577/2020,M245982,PISO DE BAUL                     ,Reparar,4.00
577/2020,M245982,MEDIO CHASIS TRAS. IZQ                 ,Reparar,1.50
577/2020,M245982,MEDIO CHASIS TRAS. DER                 ,Reparar,1.50
577/2020,M245982,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,1.00
577/2020,M245982,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,1.00
577/2020,M245982,TAPIZADO BAUL COMPL.                     ,SYC,0.60
577/2020,M245982,FLETES                     ,Sustituir,0.00
661/2020,M305946,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,3.00
661/2020,M305946,CAPOT .                   ,Sustituir,1.00
661/2020,M305946,CARETA                     ,SYC,0.50
661/2020,M305946,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,0.00
661/2020,M305946,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
661/2020,M305946,CARETA                     ,SYC,0.50
661/2020,M305946,FLETES                     ,Sustituir,0.00
661/2020,M305946,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,2.00
661/2020,M305946,PUERTA TRAS.  DESARME COMPL. DER                 ,Reparar,2.00
786/2020,M300763,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,6.00
786/2020,M300763,PUERTAS DES. PARCIAL tras IZQ            ,Reparar,3.50
786/2020,M300763,BISAGRAS PUERTAS tras IZQ            ,Reparar,1.00
786/2020,M300763,MONTANTE CENTRALES IZQ                 ,Reparar,1.00
821/2020,M304093,PUERTA DELAN. DESARME COMPLETO IZQ                 ,Sustituir,4.00
821/2020,M304093,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
821/2020,M304093,GUIA DE PARAGOLPES IZQ                 ,Sustituir,0.20
821/2020,M304093,CAMINERO IZQ                 ,Sustituir,0.00
821/2020,M304093,BUCHEGLASS IZQ                 ,Sustituir,0.30
821/2020,M304093,COLIZAS ext.pta. del IZQ    ,Sustituir,0.00
821/2020,M304093,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,3.00
821/2020,M304093,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
821/2020,M304093,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Reparar,4.00
821/2020,M304093,ZOCALO IZQ                 ,Reparar,2.00
821/2020,M304093,MONTANTE DE PARABRISAS IZQ                     ,Reparar,2.00
821/2020,M304093,TAPIZADOS IZQ                 ,SYC,1.00
844/2020,M304973,CAPOT                     ,Sustituir,1.00
844/2020,M304973,GUIA DE PARAGOLPES gu¡a x2             ,Sustituir,0.20
844/2020,M304973,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
844/2020,M304973,CARETA                     ,Sustituir,0.50
844/2020,M304973,ALOJ. FARO DEL . (DER./IZQ) IZQ                 ,Sustituir,2.00
844/2020,M304973,FRENTE SOLDADO COMPLETO                     ,Reparar,4.00
844/2020,M304973,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
844/2020,M304973,SOPORTE ELECTRO .                   ,Sustituir,0.40
844/2020,M304973,DEPOSITO L.P.                     ,Sustituir,0.20
844/2020,M304973,PASARRUEDA  DELANTERO c/sop guard IZQ     ,Reparar,3.00
844/2020,M304973,GUARDABARRO/S DELANTERO/S ajustar IZQ         ,Reparar,1.50
844/2020,M304973,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
844/2020,M304973,CARGA DE GAS                     ,Sustituir,0.00
844/2020,M304973,RADIADOR DE AGUA                     ,SYC,0.80
844/2020,M304973,CONDENSADOR DE A/A                     ,SYC,1.00
844/2020,M304973,REFRIGERANTE                     ,Sustituir,0.00
844/2020,M304973,VANOS MOTOR                     ,SYC,1.00
844/2020,M304973,AJUSTE CONJUNTO DEL.                     ,SYC,1.00
903/2020,M304977,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,6.00
903/2020,M304977,PARAGOLPE TRASERO                     ,Reparar,3.00
903/2020,M304977,FAROL TRASERO IZQ                 ,SYC,0.25
903/2020,M304977,MANIJA PUERTA tras IZQ            ,Reparar,0.00
903/2020,M304977,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Reparar,2.00
903/2020,M304977,BAGUETA pta tras IZQ        ,Reparar,0.00
903/2020,M304977,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,2.00
903/2020,M304977,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,2.50
903/2020,M304977,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
903/2020,M304977,BUCHEGLASS DER                 ,SYC,0.30
903/2020,M304977,LLANTA del. DER            ,Reparar,1.00
903/2020,M304977,LLANTA tras IZQ            ,Reparar,1.00
925/2020,M305984,GUARDABARRO/S DELANTERO/S c/agujero DER       ,Sustituir,1.50
925/2020,M305984,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
925/2020,M305984,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
925/2020,M305984,CAMINERO DER                 ,Sustituir,0.00
925/2020,M305984,BUCHEGLASS del DER             ,Sustituir,0.30
925/2020,M305984,GUIA DE PARAGOLPES x2 del              ,Sustituir,0.20
925/2020,M305984,TASA/S                     ,Sustituir,0.00
925/2020,M305984,LLANTA chapa               ,Sustituir,0.50
925/2020,M305984,CUBIERTA michelin1856514     ,Sustituir,0.10
925/2020,M305984,ALINEACION CONTROL . x2                  ,Sustituir,0.00
925/2020,M305984,BALANCEAR                     ,Sustituir,0.00
925/2020,M305984,PUERTA DELANTERA DES. PARCIAL DER                 ,Reparar,1.50
925/2020,M305984,ESPEJO RETROVISOR EXT.                     ,Reparar,0.20
925/2020,M305984,PASARRUEDA  DELANTERO y sop.guarb DER     ,Reparar,2.50
925/2020,M305984,ZOCALO DER                 ,Reparar,3.00
925/2020,M305984,ALOJ. FARO DEL . (DER./IZQ) DER                 ,Reparar,1.00
925/2020,M305984,BROCHES varios x10          ,Sustituir,0.00
925/2020,M305984,LAMPARAS                     ,Sustituir,0.00
925/2020,M305984,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
942/2020,M305605,CALCO DE PUERTA TRASERA IZQ                 ,Sustituir,0.00
942/2020,M305605,CUBRE ZOCALO IZQ                 ,Reparar,3.50
945/2020,M304640,CALCOS puerta tras. DER    ,Sustituir,0.00
945/2020,M304640,PUERTA TRAS.  DESARME COMPL. DER                 ,Sustituir,5.00
945/2020,M304640,TASA/S n/p                 ,Sustituir,0.00
945/2020,M304640,MANIJA PUERTA tras.exter. DER     ,Sustituir,0.00
945/2020,M304640,MANIJA PUERTA AGARRE INTERNO tras DER            ,Sustituir,0.00
945/2020,M304640,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,6.00
945/2020,M304640,TAPA EXT. DEPOSITO COMB.                     ,Reparar,1.00
945/2020,M304640,DEPOSITO DE COMBUSTIBLE                     ,SYC,2.00
945/2020,M304640,FAROL TRASERO DER                 ,SYC,0.25
945/2020,M304640,ALINEACION TREN TRAS. tras.control        ,Sustituir,0.00
997/2020,M304027,PARAGOLPE TRASERO                     ,Sustituir,1.00
997/2020,M304027,OJO DE GATO TRASERO PARAG DER                 ,Sustituir,0.25
1110/2020,M301783,BROCHES 2 de careta         ,Sustituir,0.00
1110/2020,M301783,GUIA DE PARAGOLPES IZQ                 ,Sustituir,0.20
1110/2020,M301783,CARETA                     ,SYC,0.50
1110/2020,M301783,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,4.00
1110/2020,M301783,FRENTE SOLDADO COMPLETO ajuste              ,Reparar,0.50
1110/2020,M301783,ALMA DE PARAGOLPE DEL/TRAS                     ,Reparar,1.50
1129/2020,M304437,AIRBAG IZQ                 ,Sustituir,1.00
1129/2020,M304437,AIRBAG DER                 ,Sustituir,1.00
1129/2020,M304437,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
1129/2020,M304437,CAPOT                     ,Sustituir,1.00
1129/2020,M304437,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
1129/2020,M304437,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
1129/2020,M304437,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
1129/2020,M304437,RADIADOR DE AGUA                     ,Sustituir,0.80
1129/2020,M304437,CONDENSADOR DE A/A                     ,Sustituir,1.00
1129/2020,M304437,REFRIGERANTE                     ,Sustituir,0.00
1129/2020,M304437,CARGA DE GAS                     ,Sustituir,0.00
1129/2020,M304437,CINTO SEGURIDAD del IZQ             ,Sustituir,0.50
1129/2020,M304437,CINTO SEGURIDAD del DER             ,Sustituir,0.50
1129/2020,M304437,RESETEO SISTEMA                     ,Sustituir,0.00
1129/2020,M304437,ENCAUSADOR AIRE juego               ,Sustituir,0.20
1129/2020,M304437,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
1129/2020,M304437,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
1129/2020,M304437,SACAR/COLOCAR MOTOR                     ,SYC,8.00
1129/2020,M304437,VANOS MOTOR                     ,SYC,1.00
1129/2020,M304437,MEDIO CHASIS DEL. IZQ                 ,Reparar,6.00
1129/2020,M304437,MEDIO CHASIS DEL. DER                 ,Reparar,8.00
1129/2020,M304437,PASARRUEDA  DELANTERO DER                 ,Reparar,7.00
1129/2020,M304437,PASARRUEDA  DELANTERO IZQ                 ,Reparar,4.00
1129/2020,M304437,PUERTA DELANTERA DES. PARCIAL DER                 ,Reparar,6.50
1129/2020,M304437,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,2.00
1129/2020,M304437,PUERTA TRAS DES. PARCIAL PARCIAL DER         ,Reparar,4.00
1129/2020,M304437,MONTANTE DELAN. DER                 ,Reparar,2.50
1129/2020,M304437,CA¥OS AA ca¤o baja           ,Sustituir,0.50
1129/2020,M304437,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
1129/2020,M304437,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
1129/2020,M304437,TABLERO COMPLETO                     ,SYC,6.00
1129/2020,M304437,AIRE ACONDICIONADO ca¤o alta           ,Sustituir,0.50
1129/2020,M304437,SONDA LAMBDA                     ,Sustituir,0.15
1129/2020,M304437,VARIOS protec mult         ,Sustituir,0.00
1129/2020,M304437,PATA DE MOTOR x3                  ,Sustituir,0.25
1129/2020,M304437,BATERIA                     ,Sustituir,0.30
1129/2020,M304437,CIERRE DE ESPOLON                     ,Sustituir,0.25
1129/2020,M304437,REJILLA TORPEDO cont IZQ            ,Sustituir,0.50
1129/2020,M304437,BISAGRAS CAPOT x2                  ,Sustituir,0.25
1129/2020,M304437,DEPOSITO L.P.                     ,Sustituir,0.20
1129/2020,M304437,BOCINA                     ,Sustituir,0.30
1129/2020,M304437,BUCHEGLASS del DER             ,Sustituir,0.30
1129/2020,M304437,CARCAZA FILTRO AIRE                     ,Sustituir,0.25
1129/2020,M304437,SOPORTES RADIADORES sup x2              ,Sustituir,0.15
1129/2020,M304437,GUIA DE PARAGOLPES del x2              ,Sustituir,0.20
1129/2020,M304437,TRAVESA¥O ENTRECHASIS travesa¤o           ,Sustituir,3.00
1129/2020,M304437,ELECTROVENTILADOR                     ,Sustituir,0.60
1129/2020,M304437,SOPORTE ELECTRO                     ,Sustituir,0.40
1438/2020,M245997,ESPEJO RETROVISOR EXT. c/tapa pintable     ,Sustituir,0.40
1438/2020,M245997,PUERTA DELANTERA DES. PARCIAL DER                 ,Reparar,4.00
1438/2020,M245997,MOLDURA PUERTA DEL. DER                 ,Reparar,1.00
1438/2020,M245997,ZOCALO DER                 ,Reparar,3.00
1438/2020,M245997,ESTRIBO DERECHO plastico            ,Reparar,2.00
1438/2020,M245997,TAPIZADO DER.                     ,SYC,0.20
1438/2020,M245997,FLETES                     ,Sustituir,0.00
1473/2020,M302399,INSIGNIA - EMBLEMA kwid                ,Sustituir,0.10
1473/2020,M302399,TAPA BAUL HATCH                     ,Reparar,6.00
1473/2020,M302399,CANTONERA TRAS IZQ                 ,Reparar,1.00
1473/2020,M302399,CANTONERA TRAS DER                 ,Reparar,1.00
1473/2020,M302399,PARAGOLPE TRASERO                     ,SYC,1.00
1473/2020,M302399,FAROL TRASERO IZQ                 ,SYC,0.25
1473/2020,M302399,FAROL TRASERO DER                 ,SYC,0.25
1583/2020,M304647,PANEL TRASERO de cola             ,Sustituir,6.00
1583/2020,M304647,ALMA PARAGOLPE TRAS                     ,Sustituir,0.50
1583/2020,M304647,PARAGOLPE TRASERO                     ,Sustituir,1.00
1583/2020,M304647,SPOILER TRAS. inf.                ,Sustituir,0.50
1583/2020,M304647,TAPA BAUL HATCH                     ,Sustituir,2.50
1583/2020,M304647,INSIGNIA - EMBLEMA H                   ,Sustituir,0.10
1583/2020,M304647,INSIGNIA I30                 ,Sustituir,0.20
1583/2020,M304647,KIT PEGADO                     ,Sustituir,0.00
1583/2020,M304647,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,2.00
1583/2020,M304647,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,2.00
1583/2020,M304647,PISO DE BAUL                     ,Reparar,4.00
1583/2020,M304647,FAROL TRASERO IZQ                 ,SYC,0.25
1583/2020,M304647,FAROL TRASERO DER                 ,SYC,0.25
1583/2020,M304647,TAPIZADO BAUL COMPL.                     ,SYC,0.60
1583/2020,M304647,LUNETA TRAS.                     ,SYC,1.00
1583/2020,M304647,TAPIZADO DE BAUL PANEL COLA                     ,Reparar,1.00
1623/2020,M304086,PARAGOLPE TRASERO                     ,Sustituir,1.00
1623/2020,M304086,GUIA DE PARAGOLPES x2                  ,Sustituir,0.20
1623/2020,M304086,FAROL TRASERO IZQ                 ,SYC,0.25
1623/2020,M304086,FAROL TRASERO DER                 ,SYC,0.25
1681/2020,M304221,ALOJ. FARO DEL . (DER./IZQ) DER                 ,Reparar,2.00
1681/2020,M304221,SE¥ALERO/S LATERAL/ES DER                 ,SYC,0.25
1681/2020,M304221,TRAVESA¥O ENTRECHASIS                     ,Reparar,2.00
1729/2020,M302857,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
1729/2020,M302857,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
1729/2020,M302857,MARCOS crom parag sup      ,SYC,0.25
1729/2020,M302857,REJILLA DER. DE PARAG.                     ,Sustituir,0.10
1729/2020,M302857,ESPEJO RETROVISOR EXT. manual DER          ,Sustituir,0.40
1729/2020,M302857,BUCHEGLASS delantero DER       ,Sustituir,0.30
1729/2020,M302857,BROCHES various parg y      ,Sustituir,0.00
1729/2020,M302857,PUERTA DELAN. DESARME COMPLETO DER                 ,Sustituir,6.00
1729/2020,M302857,FAROL TRASERO DER                 ,Sustituir,0.25
1729/2020,M302857,GUIA DE PARAGOLPES del IZQ             ,Sustituir,0.20
1729/2020,M302857,GUIA DE PARAGOLPES del DER             ,Sustituir,0.20
1729/2020,M302857,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,3.00
1729/2020,M302857,TAPIZADO BAUL DER.                     ,SYC,0.20
1729/2020,M302857,PUERTA TRAS.  DESARME COMPL. DER                 ,Reparar,3.50
1729/2020,M302857,FRENTE DE FIBRA                     ,Sustituir,2.00
1729/2020,M302857,PLASTICO prot lat motor DER  ,Sustituir,1.00
1729/2020,M302857,PLASTICO prot lat motor IZQ  ,Sustituir,1.00
1729/2020,M302857,PARAGOLPE TRASERO                     ,Reparar,2.00
1729/2020,M302857,FLETES .                   ,Sustituir,0.00
1729/2020,M302857,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,2.00
1729/2020,M302857,BUCHEGLASS IZQ                 ,Sustituir,0.30
1729/2020,M302857,SOPORTE DE PARAGOLPE DEL. superior            ,Sustituir,0.50
1729/2020,M302857,LARGUERO DE CHASIS DELANTERO PILAR DEL           ,Reparar,1.00
1729/2020,M302857,LARGUERO DE CHASIS DELANTERO PILAR DEL           ,Reparar,1.00
1818/2020,M304255,PARAGOLPE TRASERO                     ,Reparar,2.00
1818/2020,M304255,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,0.00
1818/2020,M304255,SPOILER TRAS. DER                 ,Reparar,0.00
1818/2020,M304255,FAROL TRASERO DER                 ,SYC,0.25
1818/2020,M304255,BUCHEGLASS DER                 ,SYC,0.30
1866/2020,M305560,PARAGOLPE TRASERO                     ,Sustituir,1.00
1866/2020,M305560,FAROL TRASERO DER                 ,Sustituir,0.25
1866/2020,M305560,TAPA BAUL HATCH                     ,Sustituir,2.50
1866/2020,M305560,LAMPARAS x3                  ,Sustituir,0.00
1866/2020,M305560,LUNETA TRAS.                     ,SYC,1.00
1866/2020,M305560,KIT PEGADO                     ,Sustituir,0.00
1866/2020,M305560,TAMBOR DE PTA/ TAPA VAL. tapa baul           ,Sustituir,0.18
1866/2020,M305560,ESPEJO RETROVISOR EXT. DER                 ,Sustituir,0.40
1866/2020,M305560,CA¥O DE ESCAPE                     ,Reparar,2.00
1866/2020,M305560,FARO DE MATR. (DEL/TRAS.)                     ,Sustituir,0.20
1866/2020,M305560,VENTILETES REJILLA AIREACION tras. DER           ,Sustituir,0.50
1866/2020,M305560,PANEL TRASERO de cola             ,Sustituir,6.00
1866/2020,M305560,PANEL IZQ.2P.HAST. MDEO.1/2 DER                 ,Reparar,6.00
1866/2020,M305560,PASARRUEDA TRASERO DER                 ,Reparar,3.00
1866/2020,M305560,PISO DE BAUL                     ,Reparar,6.00
1866/2020,M305560,PISO TRASERO                     ,Reparar,3.00
1866/2020,M305560,LARGUERO DE CHASIS DELANTERO DER                 ,Reparar,3.00
1866/2020,M305560,ALOJ. FARO TRAS.(IZQ./DER.) DER                 ,Reparar,2.00
1866/2020,M305560,TAPIZADO BAUL DER.                     ,Reparar,1.00
1866/2020,M305560,TAPIZADO BAUL COMPL.                     ,SYC,0.60
1866/2020,M305560,ASIENTO TRASERO                     ,SYC,0.80
1866/2020,M305560,DEPOSITO DE COMBUSTIBLE                     ,SYC,2.00
1868/2020,M302574,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Sustituir,5.00
1868/2020,M302574,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,2.00
1868/2020,M302574,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
1868/2020,M302574,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,1.00
1868/2020,M302574,BUCHEGLASS del IZQ             ,SYC,0.30
1868/2020,M302574,BUCHEGLASS tras IZQ            ,SYC,0.30
1868/2020,M302574,ESPEJO RETROVISOR EXT. izq                 ,Sustituir,0.00
1908/2020,M305528,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
1908/2020,M305528,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
1908/2020,M305528,PUERTA DELANTERA DES. PARCIAL parcial IZQ         ,Reparar,0.00
1908/2020,M305528,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
1908/2020,M305528,BUCHEGLASS del. IZQ            ,SYC,0.30
2159/2020,M304839,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
2159/2020,M304839,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
2159/2020,M304839,TRAVESA¥O ENTRECHASIS alma del.           ,Sustituir,3.00
2159/2020,M304839,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
2159/2020,M304839,RADIADOR DE AGUA                     ,Sustituir,0.80
2159/2020,M304839,ELECTROVENTILADOR completo            ,Sustituir,0.60
2159/2020,M304839,CONDENSADOR DE A/A                     ,Sustituir,1.00
2159/2020,M304839,MULTIPLE DE ESCAPE c/catalizador       ,Sustituir,0.50
2159/2020,M304839,SONDA LAMBDA                     ,Sustituir,0.15
2159/2020,M304839,MANGON RADI. inf.                ,Sustituir,0.30
2159/2020,M304839,CAPOT                     ,Reparar,2.00
2159/2020,M304839,SOPORTE DE PARAGOLPE DEL. ca¤o                ,Reparar,1.00
2159/2020,M304839,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,3.00
2159/2020,M304839,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
2159/2020,M304839,REJILLA CENT.DE PARAG. inf.                ,Sustituir,0.00
2159/2020,M304839,REJILLA CENT.DE PARAG. sup.                ,Sustituir,0.00
2159/2020,M304839,MULTIPLE DE ESCAPE protec.termico      ,Sustituir,0.00
2159/2020,M304839,REJILLA DER. DE PARAG.                     ,Sustituir,0.00
2159/2020,M304839,CARGA DE GAS                     ,Sustituir,0.00
2159/2020,M304839,REFRIGERANTE                     ,Sustituir,0.00
2159/2020,M304839,VARIOS abrazadera x2       ,Sustituir,0.00
2159/2020,M304839,MEDIO CHASIS DEL. izq                 ,Reparar,3.00
2159/2020,M304839,MEDIO CHASIS DEL. der                 ,Reparar,5.00
2159/2020,M304839,FAROL/ES DELANTERO/S der                 ,SYC,0.50
2159/2020,M304839,BUCHEGLASS del.DER             ,SYC,0.30
2159/2020,M304839,BUCHEGLASS DEL.IZQ             ,SYC,0.30
2159/2020,M304839,JUNTAS MULTIPLE ESCAPE .                   ,Sustituir,0.00
2159/2020,M304839,TRAVESA¥O ENTRECHASIS tapa de             ,Sustituir,0.00
2174/2020,M300073,PARAGOLPE TRASERO                     ,Sustituir,1.00
2174/2020,M300073,TAPA DE BAUL                     ,Reparar,4.00
2174/2020,M300073,PANEL TRASERO ajustar             ,Reparar,1.00
2240/2020,M305164,FAROL TRASERO DER                 ,Sustituir,0.25
2240/2020,M305164,CANTONERA TRAS DER                 ,Sustituir,0.50
2240/2020,M305164,PANEL LATERAL inf DER             ,Reparar,8.00
2240/2020,M305164,PASARRUEDA TRASERO DER                 ,Reparar,3.00
2240/2020,M305164,FLETES                     ,Sustituir,0.00
2240/2020,M305164,TAPIZADO INTERIORES          ,SYC,0.50
2318/2020,M305155,CARETA                     ,Sustituir,0.50
2318/2020,M305155,REJILLA CENT.DE PARAG.                     ,Sustituir,0.00
2318/2020,M305155,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
2318/2020,M305155,CONDENSADOR DE A/A                     ,Sustituir,1.00
2318/2020,M305155,REFRIGERANTE                     ,Sustituir,0.00
2318/2020,M305155,CARGA DE GAS                     ,Sustituir,0.00
2318/2020,M305155,RADIADOR DE AGUA                     ,SYC,0.80
2318/2020,M305155,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
2318/2020,M305155,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
2318/2020,M305155,FRENTE SUPERIOR ATORNILLADO                     ,Reparar,2.00
2318/2020,M305155,FRENTE BAJADA SOLDADA IZQ                 ,Reparar,2.00
2318/2020,M305155,CAPOT                     ,Sustituir,1.00
2318/2020,M305155,BUCHEGLASS del DER             ,Sustituir,0.30
2318/2020,M305155,GUIA DE PARAGOLPES x2 del              ,Sustituir,0.20
2318/2020,M305155,BROCHES parag del           ,Sustituir,0.00
2318/2020,M305155,ALMA DE PARAGOLPE DEL                     ,Sustituir,0.50
2318/2020,M305155,DEPOSITO L.P.                     ,SYC,0.20
2318/2020,M305155,REJILLA TORPEDO                     ,SYC,0.50
2318/2020,M305155,BISAGRA PUERTA (DEL O TRAS) x2                  ,Reparar,1.00
2382/2020,M305788,CAPOT                     ,Sustituir,1.00
2382/2020,M305788,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
2382/2020,M305788,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
2382/2020,M305788,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
2382/2020,M305788,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
2382/2020,M305788,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
2382/2020,M305788,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
2382/2020,M305788,CARETA                     ,Sustituir,0.50
2382/2020,M305788,REJILLA CENT.DE PARAG. inferior            ,Sustituir,0.10
2382/2020,M305788,RADIADOR DE AGUA                     ,Sustituir,0.80
2382/2020,M305788,REFRIGERANTE                     ,Sustituir,0.00
2382/2020,M305788,SOPORTE ELECTRO                     ,Sustituir,0.40
2382/2020,M305788,CONDENSADOR DE A/A                     ,Sustituir,1.00
2382/2020,M305788,CARGA DE GAS                     ,Sustituir,0.00
2382/2020,M305788,BOCINA                     ,Sustituir,0.30
2382/2020,M305788,INSIGNIA - EMBLEMA                     ,Sustituir,0.10
2382/2020,M305788,GUIA DE PARAGOLPES IZQ                 ,Sustituir,0.20
2382/2020,M305788,GUIA DE PARAGOLPES DER                 ,Sustituir,0.20
2382/2020,M305788,"REJILLA IZQ, DE PARAG.                     ",Sustituir,0.10
2382/2020,M305788,REJILLA DER. DE PARAG.                     ,Sustituir,0.10
2382/2020,M305788,MARCO CROMADO CARETA CENTRAL marco cromado       ,Sustituir,0.00
2382/2020,M305788,MARCO CROMADO CARETA SUP marco cromado       ,Sustituir,0.00
2382/2020,M305788,AIRE ACONDICIONADO ca¤o de aire ba     ,Sustituir,0.50
2382/2020,M305788,FRENTE INF.                     ,Reparar,2.00
2382/2020,M305788,ALMA DE PARAGOLPE DEL/TRAS                     ,Reparar,1.50
2382/2020,M305788,ENCAUSADOR AIRE IZQ                 ,Sustituir,0.20
2382/2020,M305788,PASARRUEDA  DELANTERO IZQ                 ,Reparar,1.00
2382/2020,M305788,PASARRUEDA  DELANTERO DER                 ,Reparar,1.00
2382/2020,M305788,VANOS MOTOR                     ,SYC,1.00
2393/2020,M275054,RADIADOR DE AGUA                     ,Sustituir,0.80
2393/2020,M275054,CONDENSADOR DE A/A                     ,Sustituir,1.00
2393/2020,M275054,CARGA DE GAS                     ,Sustituir,0.00
2393/2020,M275054,REFRIGERANTE                     ,Sustituir,0.00
2393/2020,M275054,CAPOT                     ,Sustituir,1.00
2393/2020,M275054,FRENTE ATORNILLADO COMPLETO                     ,Sustituir,4.00
2393/2020,M275054,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
2393/2020,M275054,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
2393/2020,M275054,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
2393/2020,M275054,MARCO CROMADO CARETA INF. .                   ,Sustituir,0.00
2393/2020,M275054,INSIGNIA - EMBLEMA careta              ,Sustituir,0.10
2393/2020,M275054,BISAGRAS CAPOT x2                  ,Sustituir,0.25
2393/2020,M275054,CIERRE DE ESPOLON                     ,Sustituir,0.25
2393/2020,M275054,ALMA DE PARAGOLPE DEL/TRAS plastica            ,Sustituir,0.50
2393/2020,M275054,ALINEACION TREN DEL.                     ,Sustituir,0.00
2393/2020,M275054,BUCHEGLASS del. IZQ            ,SYC,0.30
2393/2020,M275054,BUCHEGLASS del. DER            ,SYC,0.30
2393/2020,M275054,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
2393/2020,M275054,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,2.00
2393/2020,M275054,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,2.50
2393/2020,M275054,MEDIO CHASIS DEL. IZQ                 ,Reparar,1.50
2393/2020,M275054,FRENTE INF.                     ,Reparar,2.00
2393/2020,M275054,FLETES                     ,Sustituir,0.00
2567/2020,M275070,PUERTA TRAS.  DESARME COMPL. DER                 ,Sustituir,6.00
2567/2020,M275070,ESTRIBO DERECHO plastico            ,Sustituir,1.00
